,author,poem,keywords
0,tirso-de-molina,Un año cielos ha que amor me obliga,callar callando anda viose mendiga calle celoso obliguen paciencia darme acosado amor indisoluble competencia mas mudo puro si tanto fatiga nudo pide me aquilaten mayor goce pudo comunicado fin posible siga pero que honor dar cielos terrible obliga imposible cosa tal con por sirena a amoroso desnudo dio aunque un
1,tirso-de-molina,Pastorcico nuevo,sembráis labrador pace buscáis pastorcico amores abeja viles pastor si color azor ya reducida vida sudor vuestras flores nuevo oveja sois que deja bueno de aunque la cogéis perdida vuelta mía pastos y para NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
2,tirso-de-molina,Coplas,hartos celos hallo cuéstame resuelvo sazón puerta mirar calla desdenes pundonor acusé cuelo amores fiel soy tropo amor hermosos mi pecho desvelos jabono gusto cerrada amar vuelvo llego tan limpieza mas flecha poder hay si cúpome me dios mis tengo desear muy sé todos sido os melindres pesa corta sabe
3,tirso-de-molina,Todo es temor amor todo es recelos,celos recelos temor azules voy amor esperanza mi desvelos ampares espejo gloria encuaderna popa todo tantos asiento su alma cuando victoria bonanza si me alcanza altares haciendo perpetuo memoria cielos sus que niegue cómo tormenta ser mal con mares puerto a deseado trueques historia siempre sobresaltos son la luchando daré
4,tirso-de-molina,El tardo buey atado a la coyunda,desespera coyunda aflige quebranta hunda tanta esperanza esperar buey espera noche nave levanta mas bonanza causa garganta me alcanza atado aun fin puedo modo quien mis tardo males vivir alcanzado bate pena infierno funda que mortales redunda a mar en más la tal mí sólo cuchillo veces común ni aunque
5,tirso-de-molina,Amor hoy como astuto me aconsejas,labran celos consuelos sabrosa dame aumentan zánganos astuto hoy amor amores labre dulces abeja soy verdes mi darme ventura desvelos panales esperanza abejas labra temores gustos aconsejas quejas dejas si pesar miel panal acíbar sus mezclan amantes me favores sé flores que sequen son yo a comen cogiendo en de
6,tirso-de-molina,Mariscal si sois cuerdo en esta empresa,estimad mirad gozoso vana proseguid cuerdo amando olvidad querido voluntad vuestro agradecido disgusto mi haced amor acordaos triunfo eterna vuestra olvido victoria gloria si duquesa ella gana mucho alma empresa os hermana siempre memoria interesa contra me veis que ganaréis lo mariscal tirana favores pena con tenéis acuerdo fama preciáis
7,tirso-de-molina,Del castizo caballo descuidado,alborozado sayal deshace apetito esmaltado tosco criado jaez colgado arzón rústico sonoro cortesano verde vistiendo pretal buen mi hambre castizo mas vivido caballo aumenta lenguaje nace descuidado encina roble soberbia freno cuando al modo vestido oro he pone luego despertó campo pensamiento céspedes traje que duro hierba del con hace
8,tirso-de-molina,Oh premio rico que a perder provoca,celos atizáis dichoso enloquece seso temor sustentar hoy puntal vara fuego amor beatriz mi esperanza palillos ciego flecha sed pesar vuelve revoca provoca si su id quitado alcanza alma casas mis oh perder haga rico loca rapaz mudanza os reducillos ya desconfianza estribe báculo vos que con premio vive gozo
9,tirso-de-molina,Falsa amistad ladrón disimulado,halaga huye eterno disimulado golondrina busca manjar morder labra mas acabado hermosura mayor ladrón amistad posible nido abrigo francia verano derribado cómo sido pero parece falsa lisonjea amigo al vano segura mis lo firme trabajos hayas una labró dado jamás huyó con invierno procura después españa dura en vio que
10,tirso-de-molina,Qué confusión enmarañados cielos,acude aborrezco recelo airada honrarle celos tormentos imito enmarañados desvanece deslucir consuelos perilo tormento temor ama osaréis tejiendo despacio tanta abrasa leonora consulta desvelos soy eslabonan merece duque matarme favorece despechos solicito su mi dilata mas amor compito comunique basta ella sospechas todo quiere muerte si hízole duquesa morir favor
11,tirso-de-molina,Yo os prometí mi libertad querida,cautivaros perdonad obligarme voluntad daros ampare querida amor amar soy obligar enfrena pupila si quebrare promesa vuelo mi arena saque su vientos mida licencia vida ahora pensamientos leves toda os cómo juramentos pero ser con infinito potestad sume lo pena prometí agua promete quien cumplida resistencia que por ocasión yo
12,tirso-de-molina,No en balde niño amor te pintan ciego,desdichado diérasme guardaréle conocieras labrador ciego fuego balde eres pintan soy mano falta bárbaro mi antojos amor despojos tan abrasado me efectos besar dejas ponte digno vista estima mis costoso vano dejándome soberano guante luego villano ojos tu juego tú aquella mal lastima diste clima verás a tener mí que
13,tirso-de-molina,Quiere hacer un tapiz la industria humana,teje entreteje ufana seda telar adorno profana hermoso mano tapiz amor hidalga matiza mi su quiere componer mezcla me deje oro exceda yerno curioso hacer materia da al hilos arte pero doble saldrá pared lo villano humilde hace valga con a que noble entre lana cuadra en aunque de propio
14,tirso-de-molina,Sale el sol por el cielo luminoso,voceando acomete ardiente veloz rayos quietud zafir pardas hermoso mi esplendor sale cielo vencido furioso bárbaro amor instante su solicitando pide luz cuando quien matizando descanso curso ilustra rinde me pasa eternamente otro salgo que sentido torpe al nubes perfilando solamente luminoso oro campo busco muy a fuertes mundo con
15,tirso-de-molina,Movido de mis ruegos Febo el paso,velando ruegos hiela raso aguarde temor ocaso rubicundo manda madrugando negro febo mi desatino espantado tarde tan amor profundo camino noche paso mas velle pienso su me grave alma da todo enamora muerte quien movido vida mis acobarde ya velo ser seguir extraña visto ropas llega sueño causó mora que
16,tirso-de-molina,Versos de novela cortesana,afrenta mirare alumbraránme inspiran ingrata aquestos ingrato deslucirle ardores temeroso yacen mereciste envidioso enmudece ansias medran acobardan recelo peligran desengaño persuade perseveras callar veo enojos despojo estremeció celestiales obraron piadosas vengarme dejasen ardo perecen desperdicia animoso solícitas gallardo piedad sombra sabroso envidias acomete ardor triste acaso trino fingidas fieras marchitas
17,emily-dickinson,Altivez,agiganta ruedo heroísmo nuestro sabemos sentirnos levanta doblegáramos altura nuestra si cielo miedo vida vernos su alguien fiel consigo toda al dice como ser estatura a sería sólo en común un nos llegar no la ley de hasta humano rey entonces el y le se NaN NaN NaN NaN NaN
18,emily-dickinson,Cuando cuento las semillas,florecer prescindir sortea azar cuando examino abeja creo abajo tan capullos bajo puedo sembradas alto yace verano sus queja semillas gente a mortales siega que jardín la del allá no sin llegar lado cuento así y verán los esta el para las NaN NaN NaN NaN NaN NaN NaN NaN
19,emily-dickinson,A salvo en sus cámaras de alabastro,murmura imperturbable trinan arrojan ignorada mansos tácitos brisa dulces cadencia raso diademas insensibles techo perecida arcos duermen abeja alabastro ah rinden viga crecientes sagacidad su dux amanecer firmamentos ellos mediodía sobre nieve luz miembros resurrección mundos pasan solemnes aquí salvo sus al ríe cámaras recogen castillo como pájaros en a
20,emily-dickinson,Pequeñez,morirnos llanto nosotras suspiros nuestro tan vosotros embargo cosas cosa por nos sin son pequeñas y pequeña los es NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
21,emily-dickinson,Coloquio,muerto cercaban diáfana hiedra entablamos soledad coloquio silencio hermandad verdad suave comprendí lúgubre vecinos belleza mi heredad somos bajo noche nuestra me cerca cuando dejaron rostro nombres hermanos dijo eternidad una que yo a por alguno cubrió borró había son murió piedra huesa en dialogó nos la de hasta tras
22,emily-dickinson,En mi jardín avanza un pájaro,rayos lontananzas elogia me torpes prueba rosa si sutil mi nuestra su acerco sabores curiosidades vagabundo posarse demora preguntamos pero cuando avanza respuesta vibrantes todos mágico molino cabriolé dos mis sobre música al real rueda jamás esas ser probó partir una remolinear como persistente va ojos madura nos flores con
23,emily-dickinson,En mi flor me he escondido,deslizarme casi sospecharlo llevases mi si me dejado pecho sientas saberlo vaso soledad tu que lo al tú flor he escondido te sin sólo allí de en ángeles la demás también y sabrán los para el estuviera NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
24,emily-dickinson,No era la Muerte pues yo estaba de pie,apaleada agitaban medianoche llora acostados insolente llave interminable badajos espacio mi mira esperanza si todo mástil noche cuando muertos rememoraba alrededor ordenadas su fuego caos todos entierro justificar siquiera informe late recortada figuras respirar mis vida pero muerte marco campanas espeluznante helada todas pie sus sentí santuario calzada lo mediodía
25,emily-dickinson,Bueno es soñar Despertar es mejor,despertamos despertar despierta dulce petirrojo alegró si noche enfrentarse día nunca figurado solidez que con alguno alba mejor conduce en a bueno árbol más un media no la mañana de soñar es el se NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
26,emily-dickinson,La sortija,sobresaltada sortija erraba brisa dorado azul despertar recuerdo ahora clara mi mano bello dedo color tarde pura me fina día poseo ya una sobre hierba al dormí mundo cuanto tenía estaba entre un la en árboles miré de no y cálido este el es los NaN NaN NaN NaN NaN
27,emily-dickinson,A una casa de rosa no te acerques,inundándola amedrentado brisa arrobamiento setos casa abatirán demasiado rosa inseguro estragos muro acerques su descanso atar ser a gota una alegría lo está que escalar ni intentes mariposa del rocío en no hallar o la te de mismo y el NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
28,emily-dickinson,Certidumbre,yermo viajo cielo derrotero estoy brezos dios olas si nunca visto ojos hablado me sé cual he segura ser dónde pero a lo yo dado jamás mar deben hubieran con ni que un visité de en llegué los el y ver las NaN NaN NaN NaN NaN NaN NaN NaN
29,alfonso-reyes,Ausencias,veo confunden desbordo embriagadora discurro melancolía desvelado trecho sombras sentir deslizan suerte mi cedo me su inmensidad hora voces tiempo explora breve familiarizo cada muerte suspenso infinito escaso cruzar vado abandonado yo invitación compañía amigos acendra alivio que sus separa con empeño a en más la límites convierte de un
30,alfonso-reyes,Glosa de mi tierra,lloro enamorada incierta amapola exhausta tremulento cardo jazmín urracas cortesana sedienta clavel despertar sienes desdenes pura blanco valle fiesta rojo duerme mano rosa bujeta aduerma laurel aleja amapolita ansia monacillo renacer sangre iv iii mi sencilla yerra tornasola sonoro estoy tiende tan nacerán estás abierta me morada ii vaso su
31,alfonso-reyes,Al declinar la tarde se acercan los amigos,vocecita lloramos despiden tibieza sollozo mudos dicen risa declinar llorar hablarnos sabemos desazón registramos dormita adueña pesar cerramos cielo cayendo tarde si tan puertas ventanas todos pero finge postigos noche prisa norias embozo hay llega ya noria amigos cuando atónitos agudos chirría aquí era malestar hogar antes van granja dónde
32,alfonso-reyes,El mal confitero,plácidamente codonate escusadas diacitrón arrulla sazón aguardiente chorrea casi alcázar insólita rosado confunda antojo confitero vicioso amargas cominada transparente roseta virgen mazapán vinillo caridades mansalva aroma toca luzbel verdad terror gusto figura mas excusadas su hay canela maña nueces vendas sola buen acíbar cielo si negras arrebola me claro hacedor
33,alfonso-reyes,El descastado,ensayaríamos cabellos necios alcen trabajará fatida girara escaparse chapurrando tocara acuchillando criados ondas escalera percatarse pinten consentía atavismos oficio seducirnos heredamos coz odio costumbre descalzo mano asno compraremos internacional voluntad sordas querida ama trepar labrador arrastras juguetes zanco duende brevedad paja pan suave fatiga majestuosa heredera protector cielo bajo échase
34,alfonso-reyes,Sol de Monterrey,revolcaba saltaba lumbre doraba sombra espantaban faldero garza ventana alcoba pegarse voy dulce cansa metía mi fuego ardían andante escudero tesoro cielo adentro casa escoba quiera ventanas llamear andaba amarillo conmigo cerradas parientes traigo me paso viva luz seguía esa arcos otra dije tendían llevas ya creo oh cada despeinado
35,alfonso-reyes,En vano ensayaríamos una voz que les recuerde algo a los Hombres,ensayaríamos cabellos necios alcen trabajará fatida girara escaparse chapurrando tocara acuchillando criados ondas escalera percatarse pinten consentía atavismos oficio seducirnos heredamos coz odio costumbre descalzo mano asno compraremos internacional voluntad sordas querida ama trepar labrador arrastras juguetes zanco duende brevedad paja pan suave fatiga majestuosa heredera protector cielo bajo échase
36,alfonso-reyes,La vecindad del mar queda abolida,echarse ventana abolida vecindad espaldas nado basta saber hay verde guardan mar por una queda que a inmensa nos la y del donde las NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
37,alfonso-reyes,La Habana,bochorno yanqui zumban ñañigo marimbas sones abanicando brisa picasso disimulan cocos montero sorbiendo rumbero blanco colonial vestidos guinda desinfecta tarde aguijón amarillo fragancia mangos vencidos su sonrisa luces disuelve revolucionario gaugin entierro concertar transparenta veterana contratista malecón aduaneros stravisnsky despojos güiros dos pensamientos granizados nunca cuba ojos ya aire alma
38,alfonso-reyes,Hoy tuvimos noticia del poeta,aprestaba lacrimosas giraban lumbrarada leños crepúsculos barbas hoy arrullo acarreaban sellaban matinal colgados encendían batía tortillas bastones ácidas ensartados jarros dormido acariciaban corderos rosas astas picas muchachas libaciones palmas viejos lomos tuvimos madrugada pechos amistades caballo aderezando honda mordían campamento sacrificio su olorosos noticia cigarros alfombras lavarse todos largos palanganas
39,alfonso-reyes,Visitación,disimularte desampara soy vaharada transparente caricia turbadora clara pasos volcarme modos noche me día tan eludir cadena su pensar eras intento muerte ya estrechamente vida punto mis tienes compañía alivio fría sigue cara errores confundida al llamé pena mil dijo con miedos sabía que por cercara más deja te entre
40,alfonso-reyes,El llanto,vocecita lloramos despiden tibieza sollozo mudos dicen risa declinar llorar hablarnos sabemos desazón registramos dormita adueña pesar cerramos cielo cayendo tarde si tan puertas ventanas todos pero finge postigos noche prisa norias embozo hay llega ya noria amigos cuando atónitos agudos chirría aquí era malestar hogar antes van granja dónde
41,alfonso-reyes,La tonada de la sierva enemiga,triste encienda trinada hilarlo cancioncita desafinada recuerdo ahogados ronca temor bárreles hoy anhelos fieros sorda tanta imaginaciones dolor barrerla paciencia disimulación copo traidor casa huso mansa ventura reto madre velas voz hurtos sencilla finas rumor representas limar palabras me su espaldas labor hílales vidas miradas viento rebelión desahogos canción esclava
42,alfonso-reyes,Los caballos,volandas cruzaba polvorín montara vilezas tapatío versero pobre llenaron espuelas pónmele largamente suyos regesaba guardaron lucero mutilado atravesaba ratos brioso rienda despertarme apenas atados pasito cabestro rasposas confunden almartirgón torpes quiso destreza metralla alcoba reliquia risa galope cuidaba puerta manchado cabriolé casa argolla abría sujetaba mañas parque suelta paseo refranes
43,alfonso-reyes,Morir,susurraba piedad besaba lamentos contento amenguaba siento estoico reclina voy carmín ternura dormido blanco sentir novedad roza vamos muelle ala sutil conciencia tan persuasión temores su venir ansioso me feliz blanda abrir cuando natural cariñoso dejarse mansa siquiera lento áspid mis morir toda esa arco algo tantos ir vida naturaleza
44,alfonso-reyes,Apenas,suspira desborda recuerdo efluvio vaga cede mísera baja silencio me somos delgada aroma resolana cuando callada alma repente poco suelo una tu sube como que a cedro fuente sueño secreto cosa del un veces hecho la en de disolución nada razón el NaN NaN NaN NaN NaN NaN NaN NaN
45,alfonso-reyes,No es Cuba donde el mar disuelve el alma,bochorno yanqui zumban ñañigo marimbas sones abanicando brisa picasso disimulan cocos montero sorbiendo rumbero blanco colonial vestidos guinda desinfecta tarde aguijón amarillo fragancia mangos vencidos su sonrisa luces disuelve revolucionario gaugin entierro concertar transparenta veterana contratista malecón aduaneros stravisnsky despojos güiros dos pensamientos granizados nunca cuba ojos ya aire alma
46,alfonso-reyes,No aquí la tierra triunfa y manda,bombean menjurjes echarse pasea ahuyentan triunfa hablarse pisadas vagan proal manchan relumbrantes vara sombras dentaduras sienes mozos danzan ventana sandalias negro cívicas azul cabellera aletazos juntas esponjas gañido rojo descalzo barridas reviven adentro manda clerical cordel canarias entresoñado cabo tinta cráneos trueno flautas cobres langostas asno errante cargan camisa sombrero
47,alfonso-reyes,Caravana,aprestaba lacrimosas giraban lumbrarada leños crepúsculos barbas hoy arrullo acarreaban sellaban matinal colgados encendían batía tortillas bastones ácidas ensartados jarros dormido acariciaban corderos rosas astas picas muchachas libaciones palmas viejos lomos tuvimos madrugada pechos amistades caballo aderezando honda mordían campamento sacrificio su olorosos noticia cigarros alfombras lavarse todos largos palanganas
48,alfonso-reyes,Veracruz,bombean menjurjes echarse pasea ahuyentan triunfa hablarse pisadas vagan proal manchan relumbrantes vara sombras dentaduras sienes mozos danzan ventana sandalias negro cívicas azul cabellera aletazos juntas esponjas gañido rojo descalzo barridas reviven adentro manda clerical cordel canarias entresoñado cabo tinta cráneos trueno flautas cobres langostas asno errante cargan camisa sombrero
49,alfonso-reyes,La amenaza de la flor,tiemblo amanezca arrebol rubor exageras mano adormideras engáñame pintas engañas exhalas negras aroma me quieras día tu flor ojeras pestañas alma una al puesta tú mujer que con vuelvas como en sólo te un cuánto tenía de la sol no parecía extremas porque también mía y se el las ver
50,alfonso-reyes,Quédate callado,exagera recobra casi aprovechas cantas querer dormido pagado pechas rosa alcance rama inerte latidos montones efectos hurtos todo huelga ceguera debes vellón cuelga canción sentido verdadera da tu al panteón callado oro lo sobra cambiado vale gasto solo que moneda ningún peciolo fruto has por aunque a sólo en del
51,alfonso-reyes,A Cuernavaca,murmura tibieza deliro aplaca suspiro inspiro urraca desaliento quietud aliento vuela voy fingimiento dulce suspende apura hartura hondura pausa sienes veleidad auras disfrutar trina sosiego mansa soledad pregunto mi solazas respiro reposo laurel aspiro cedo si breve básteme realidad cuando intento luz interrumpir ii me cuernavaca cordial beata mis tiempo
52,alfonso-reyes,La señal funesta,arranco muerto alzo ayer voy azada daréis dicen juzga diligencia preguntarlo mano cobro vehemencia paciencia traer filosofías olvido si sabes hartura cansa mi primavera perdido pide darme cuando tesoro flojedad retoños suelte fatiga lectura punto me envejeciendo señalada hora vivo brote otro sinecura cada amada ii cotidiano pierdo surco invertido
53,alfonso-reyes,Es Toledo ciudad eclesiástica,plácidamente codonate escusadas diacitrón arrulla sazón aguardiente chorrea casi alcázar insólita rosado confunda antojo confitero vicioso amargas cominada transparente roseta virgen mazapán vinillo caridades mansalva aroma toca luzbel verdad terror gusto figura mas excusadas su hay canela maña nueces vendas sola buen acíbar cielo si negras arrebola me claro hacedor
54,vicente-huidobro,Alerta,estallan sombra agujerean sirenas cantan vuelan clarín luna aeroplanos cielo rosas apagar calles olas tiemblan maduras torno negras ahora viento estrella apaga noche otto zeppelín victoria cada llama canciones von bombas tu estanque pipa cortadas sobre cien ruido media que como acerca coche cortisona días en la un jardín entre
55,vicente-huidobro,Sobre la nieve se oye resbalar la noche,mecen silbando inundo gime muerto humea resbalar mi oye encendí nidos olas labios viento voces alas noche abro mis orilla cada estrella daban nubes canción miro nieve mástiles llenos que niebla vez puerto dedos yo mirada una pájaros sobre navío caía están la entre en de árboles vacío tras cigarro
56,vicente-huidobro,Monumento al mar,lloramos martirizada llanto olvidados maldices renace temblorosas despierta pisoteado neblina arrastramos naufragados aferra lloras iracundas inagotable milenaria enmohezcan tose tembloroso milenario cantemos arrastran rumiando torbellino encrucijadas ola eterno llorar envuelve escondes esperando tenebrosas saludando apenas sangre oigas dulce alegres pensativo angustia lápida soy dormido saluda arranquen amor sufres molde dolor
