base,1,2,3,4,5,6,7,8,9,10
catulo-el-varo-a-mi-mio-a-sus-amores,catulo-la-goleta-aquella-que-veis-huespedes,alfonso-reyes-los-caballos,cesar-vallejo-donde-nunca-llegaremos,cesar-vallejo-epistola-a-los-transeuntes,cesar-vallejo-me-morire-en-paris-con-aguacero,cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,catulo-veranio-de-todos-mis-amigos,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,cesar-vallejo-entre-el-dolor-y-el-placer-median-tres-criaturas
alfonso-reyes-apenas,alfonso-reyes-morir,jaime-sabines-vieja-la-noche,jaime-sabines-miss-x,alfonsina-storni-alma-desnuda,alfonsina-storni-soy-un-alma-desnuda-en-estos-versos,alfonsina-storni-esta-tarde,cesar-vallejo-mayo,alfonsina-storni-razones-y-paisajes-de-amor,alfonsina-storni-baja-del-cielo-la-endiablada-punta,cesar-vallejo-yeso
alejandra-pizarnik-alguien-mide-sollozando,alejandra-pizarnik-los-ojos-abiertos,alejandra-pizarnik-memoria,alejandra-pizarnik-arpa-de-silencio,vicente-huidobro-senora,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-balada-de-lo-que-no-vuelve,vicente-huidobro-el-paso-del-retorno,vicente-huidobro-poema-funerario
jaime-sabines-la-cojita-esta-embarazada,jaime-sabines-miss-x,mario-benedetti-a-la-izquierda-del-roble,alfonsina-storni-al-oido,alfonso-reyes-los-caballos,alejandra-pizarnik-mi-amor-se-amplia,alejandra-pizarnik-solo-un-amor,alfonsina-storni-retrato-de-garcia-lorca,alfonsina-storni-buscando-raices-de-alas,alfonso-reyes-sol-de-monterrey,jaime-sabines-los-dias-inutiles
alejandra-pizarnik-se-fuga-la-isla,alejandra-pizarnik-salvacion,alejandra-pizarnik-peregrinaje,alejandra-pizarnik-llame-llame-como-la-naufraga-dichosa,alejandra-pizarnik-senor,alejandra-pizarnik-el-despertar,vicente-huidobro-el-paso-del-retorno,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,emily-dickinson-no-era-la-muerte-pues-yo-estaba-de-pie,vicente-huidobro-balada-de-lo-que-no-vuelve,mario-benedetti-a-la-izquierda-del-roble
tirso-de-molina-amor-hoy-como-astuto-me-aconsejas,catulo-pajarito-delicias-de-mi-nina,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,tirso-de-molina-todo-es-temor-amor-todo-es-recelos,catulo-planid-oh-las-venus-y-los-deseos,alfonsina-storni-plegaria-a-la-traicion,alfonsina-storni-soy-un-alma-desnuda-en-estos-versos,alfonsina-storni-alma-desnuda,alfonsina-storni-camino-lentamente-por-la-senda-de-acacias,alfonsina-storni-tu-dulzura
alfonsina-storni-camino-lentamente-por-la-senda-de-acacias,alfonsina-storni-tu-dulzura,alfonsina-storni-esta-tarde,alfonsina-storni-te-acuerdas,alfonsina-storni-dulce-y-sombrio,alfonsina-storni-el-sueno,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-versos-otonales,alfonsina-storni-al-mirar-mis-mejillas-que-ayer-estaban-rojas,alfonsina-storni-palabras-a-ruben-dario
cesar-vallejo-y-si-despues-de-tantas-palabras,cesar-vallejo-los-nueve-monstruos,cesar-vallejo-el-pan-nuestro,cesar-vallejo-himno-a-los-voluntarios-de-la-republica,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,cesar-vallejo-los-dados-eternos,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,cesar-vallejo-la-rueda-del-hambriento,alejandra-pizarnik-mucho-mas-alla,alejandra-pizarnik--y-si-nos-vamos-anticipando
jaime-sabines-cantemos-al-dinero,mario-benedetti-un-padre-nuestro-latinoamericano,alfonso-reyes-el-descastado,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,jaime-sabines-tlaltelolco-68,jaime-sabines-pasa-el-lunes,mario-benedetti-a-la-izquierda-del-roble,vicente-huidobro-arte-poetica,jaime-sabines-los-dias-inutiles,alfonsina-storni-la-invitacion-amable,alfonsina-storni-capricho-2
alejandra-pizarnik-origen,alejandra-pizarnik-la-luz-es-demasiado-grande,alejandra-pizarnik-esta-mania-de-saberme-angel,alejandra-pizarnik-exilio,jaime-sabines-te-quiero-porque-tienes,alfonso-reyes-morir,cesar-vallejo-la-rueda-del-hambriento,tirso-de-molina-versos-de-novela-cortesana,jaime-sabines-miss-x,alfonsina-storni-plegaria-a-la-traicion,cesar-vallejo-yeso
cesar-vallejo-piedra-negra-sobre-una-piedra-blanca,cesar-vallejo-me-morire-en-paris-con-aguacero,alfonso-reyes-los-caballos,catulo-el-varo-a-mi-mio-a-sus-amores,mario-benedetti-a-la-izquierda-del-roble,cesar-vallejo-donde-nunca-llegaremos,cesar-vallejo-los-nueve-monstruos,cesar-vallejo-a-mi-hermano-miguel,cesar-vallejo-verano,alfonso-reyes-en-vano-ensayariamos-una-voz-que-les-recuerde-algo-a-los-hombres,alfonso-reyes-el-descastado
alejandra-pizarnik-la-ultima-inocencia,alejandra-pizarnik-partir,mario-benedetti-a-la-izquierda-del-roble,alfonsina-storni-buscando-raices-de-alas,alfonsina-storni-retrato-de-garcia-lorca,alejandra-pizarnik-el-despertar,alejandra-pizarnik-senor,alfonsina-storni-tu-me-quieres-blanca,mario-benedetti-un-padre-nuestro-latinoamericano,alfonso-reyes-la-senal-funesta,mario-benedetti-tactica-y-estrategia
alfonsina-storni-un-sol,alfonsina-storni-oh-fiero-amor-llegaste-como-la-mariposa,alfonsina-storni-fiero-amor,alfonsina-storni-frente-al-mar,alfonsina-storni-bajo-tus-miradas,alfonsina-storni-dulce-y-sombrio,alfonso-reyes-morir,alfonsina-storni-oh-tu,alfonsina-storni-indolencia,alfonsina-storni-a-pesar-de-mi-misma-te-amo-eres-tan-vano,alfonsina-storni-soy-suave-y-triste-si-idolatro-puedo
tirso-de-molina-yo-os-prometi-mi-libertad-querida,tirso-de-molina-versos-de-novela-cortesana,tirso-de-molina-que-confusion-enmaranados-cielos,tirso-de-molina-oh-premio-rico-que-a-perder-provoca,alfonsina-storni-un-sol,cesar-vallejo-epistola-a-los-transeuntes,alfonso-reyes-morir,tirso-de-molina-un-ano-cielos-ha-que-amor-me-obliga,alfonso-reyes-la-tonada-de-la-sierva-enemiga,tirso-de-molina-falsa-amistad-ladron-disimulado,tirso-de-molina-el-tardo-buey-atado-a-la-coyunda
alejandra-pizarnik-tal-vez-esta-noche-no-es-noche,alejandra-pizarnik-noche,jaime-sabines-algo-sobre-la-muerte-del-mayor-sabines--segunda-parte,alfonsina-storni-frente-al-mar,alejandra-pizarnik-mucho-mas-alla,alejandra-pizarnik--y-si-nos-vamos-anticipando,vicente-huidobro-balada-de-lo-que-no-vuelve,jaime-sabines-miss-x,vicente-huidobro-el-paso-del-retorno,alfonso-reyes-morir,jaime-sabines-pasa-el-lunes
